smiles,pIC50,docking_score
Brc1ccc2nc(Nc3ccccc3)ncc2c1,5.0,-7.75645
C#CC1CCc2nnc(-c3cccc(NC(=O)c4cc(-n5cnc(C6CC6)c5)c(C)cc4F)n3)n21,8.4437,-9.78442
C#CCCCC(=O)N[C@@H](Cc1ccc(C(=O)c2ccccc2)cc1)C(=O)NCCOCCOCCNC(=O)c1ccc(-c2nncc3cc(-c4cc(C(=O)NC5CC5)ccc4C)ccc23)c(C)c1,5.69897,-9.05533
C#CCCCC(=O)N[C@H](Cc1ccc(C(=O)c2ccccc2)cc1)C(=O)NCCOCCOCCNC(=O)c1ccc(-c2nncc3cc(-c4cc(NC(=O)c5ccnc(N6CCOCC6)c5)ccc4C)ccc23)c(C)c1,5.69897,-9.47988
C#C[C@@H]1CCc2nnc(-c3cccc(NC(=O)c4cc(-n5cnc(C6CC6)c5)c(C)cc4F)n3)n21,8.72125,-10.48381
C#Cc1cccc(Nc2ncnc3cc(OCCOC)c(OCCOC)cc23)c1,5.0,-7.27671
C=CC(=O)Nc1cccc(Nc2cc(N3CCCCC3CCO)nc3c(CC)cnn23)c1,5.96257,-8.37265
C=CC1CCc2nnc(-c3cccc(NC(=O)c4cc(-n5cnc(C6CC6)c5)c(C)cc4F)n3)n21,8.38722,-10.10468
C=CCCOC(=O)N1CCc2ccc(C(=O)Nc3cccc(-c4nncn4C(C)C)n3)cc2C1,7.25964,-9.39544
C=CCN1CCc2ccc(C(=O)Nc3cccc(-c4nncn4C(C)C)n3)cc2C1,6.25964,-9.66124
C=CCNC(=O)N1CCc2ccc(C(=O)Nc3cccc(-c4nncn4C(C)C)n3)cc2C1,7.25964,-9.95244
C=CCOC(=O)N1CCc2ccc(C(=O)Nc3cccc(-c4nncn4C(C)C)n3)cc2C1,7.25964,-9.76927
C=CCn1cc(C(=O)Nc2cccc(-c3nncn3C(C)C(F)(F)F)n2)c(OC)n1,7.0,-9.00637
C=CCn1cc(C(=O)Nc2cccc(-c3nncn3C(C)C)n2)c(OC)n1,7.0,-8.71382
C=CCn1cc(C(=O)Nc2cccc(-c3nncn3[C@@H](C)C(F)(F)F)n2)c(OC)n1,7.0,-9.03113
C=C[C@@H]1CCc2nnc(-c3cccc(NC(=O)c4cc(-n5cnc(C6CC6)c5)c(C)cc4F)n3)n21,8.45593,-10.78617
C=Cc1ccc2c(c1)C(=O)N=C1C=CC=C(N1)c1nncn1CCCCO2,7.0,-2.24176
CC(=O)N1CCN(C(=O)c2ccc3c(c2)CN(c2cccc(-c4nncn4C4CC4)n2)C3=O)CC1,6.69897,-10.49244
CC(=O)N1CCN(c2cccc(-c3cnc(-c4cccc(-c5nncn5C(C)C)n4)o3)c2)CC1,7.30103,-9.37185
CC(=O)N1CCN(c2ccnc(NC(=O)Nc3cccc(-c4nncn4C(C)C)n3)c2)CC1,7.30103,-8.61687
CC(=O)NC1CC(n2c3ccc(O)cc3c3c4c(c5c6ccccc6[nH]c5c32)CNC4=O)OC(C)C1O,8.193820026016112,-12.99978
CC(=O)NC1CC2OC(C)(C1O)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4,9.113509274827518,-9.89438
CC(=O)NC1CCN(C(=O)c2ccc3c(c2)CN(c2cccc(-c4nncn4C4CC4)n2)C3=O)CC1,6.69897,-10.77374
CC(=O)NC1CCN(c2cc(NC(=O)[C@@H]3C[C@H]3c3ccccc3)nc3cc(C)nn23)CC1,7.0,-9.40087
CC(=O)NC[C@@H](C)n1nnnc1-c1cccc(NC(=O)c2cc(-n3cnc(C4CC4)c3)c(C)cc2F)n1,7.25964,-10.76923
