smiles,pIC50
Brc1ccc2nc(Nc3ccccc3)ncc2c1,5.0
C#CC1CCc2nnc(-c3cccc(NC(=O)c4cc(-n5cnc(C6CC6)c5)c(C)cc4F)n3)n21,8.4437
C#CCCCC(=O)N[C@@H](Cc1ccc(C(=O)c2ccccc2)cc1)C(=O)NCCOCCOCCNC(=O)c1ccc(-c2nncc3cc(-c4cc(C(=O)NC5CC5)ccc4C)ccc23)c(C)c1,5.69897
C#CCCCC(=O)N[C@H](Cc1ccc(C(=O)c2ccccc2)cc1)C(=O)NCCOCCOCCNC(=O)c1ccc(-c2nncc3cc(-c4cc(NC(=O)c5ccnc(N6CCOCC6)c5)ccc4C)ccc23)c(C)c1,5.69897
C#C[C@@H]1CCc2nnc(-c3cccc(NC(=O)c4cc(-n5cnc(C6CC6)c5)c(C)cc4F)n3)n21,8.72125
C#Cc1cccc(Nc2ncnc3cc(OCCOC)c(OCCOC)cc23)c1,5.0
C=CC(=O)Nc1cccc(Nc2cc(N3CCCCC3CCO)nc3c(CC)cnn23)c1,5.96257
C=CC1CCc2nnc(-c3cccc(NC(=O)c4cc(-n5cnc(C6CC6)c5)c(C)cc4F)n3)n21,8.38722
C=CCCOC(=O)N1CCc2ccc(C(=O)Nc3cccc(-c4nncn4C(C)C)n3)cc2C1,7.25964
C=CCN1CCc2ccc(C(=O)Nc3cccc(-c4nncn4C(C)C)n3)cc2C1,6.25964
C=CCNC(=O)N1CCc2ccc(C(=O)Nc3cccc(-c4nncn4C(C)C)n3)cc2C1,7.25964
C=CCOC(=O)N1CCc2ccc(C(=O)Nc3cccc(-c4nncn4C(C)C)n3)cc2C1,7.25964
C=CCn1cc(C(=O)Nc2cccc(-c3nncn3C(C)C(F)(F)F)n2)c(OC)n1,7.0
C=CCn1cc(C(=O)Nc2cccc(-c3nncn3C(C)C)n2)c(OC)n1,7.0
C=CCn1cc(C(=O)Nc2cccc(-c3nncn3[C@@H](C)C(F)(F)F)n2)c(OC)n1,7.0
C=C[C@@H]1CCc2nnc(-c3cccc(NC(=O)c4cc(-n5cnc(C6CC6)c5)c(C)cc4F)n3)n21,8.45593
C=Cc1ccc2c(c1)C(=O)N=C1C=CC=C(N1)c1nncn1CCCCO2,7.0
CC(=O)N1CCN(C(=O)c2ccc3c(c2)CN(c2cccc(-c4nncn4C4CC4)n2)C3=O)CC1,6.69897
CC(=O)N1CCN(c2cccc(-c3cnc(-c4cccc(-c5nncn5C(C)C)n4)o3)c2)CC1,7.30103
CC(=O)N1CCN(c2ccnc(NC(=O)Nc3cccc(-c4nncn4C(C)C)n3)c2)CC1,7.30103
